main,symptoms,diabetes,tell,may,treat,bruxism,cause,stroke
0.020411,-0.011041,-0.0059546,-0.020358,-0.0025163,0.017558,-0.030865,-0.025673,0.09117
-0.0058616,0.032737,-0.062244,0.056089,0.0028224,-0.00062264,-0.033851,0.045303,-0.016935
-0.040222,0.033825,0.029923,-0.041895,-0.032921,0.065095,0.091913,-0.042125,0.022201
0.039531,-0.01541,0.020545,0.059342,0.11081,0.018532,0.042146,0.0062632,0.020897
-0.0115,0.004851,-0.0017738,-0.024707,0.012755,-0.025485,0.021778,0.03093,-0.015696
0.03786,0.023363,-0.024994,0.079581,-0.028234,0.0017506,-0.041656,0.030182,-0.024598
-0.0083908,-0.050135,0.072671,0.040119,0.0010512,0.0025339,0.0075408,0.028391,-0.012851
-0.0067898,-0.023078,0.03723,0.049291,-0.069123,-0.0098025,-0.0066524,-0.033662,-0.0014629
-0.037652,-0.094009,-0.048288,-0.088628,-0.06875,-0.10831,-0.10646,-0.022352,0.047779
0.010174,-0.056506,-0.057864,0.017974,-0.34253,-0.16157,-0.061421,-0.14016,-0.084528
0.044258,0.017778,0.024191,0.0035682,0.066966,-0.039296,-0.040479,0.032231,-0.024574
-0.018005,0.028028,0.00845,-0.0044848,0.058621,0.00033685,0.024522,0.023893,0.11956
-0.012524,-0.010929,-0.029854,-0.046144,0.033114,0.038974,0.014196,0.060452,-0.061579
-0.09641,-0.037459,0.016033,-0.10014,-0.10461,-0.050478,-0.031171,-0.04082,-0.054141
0.030206,-0.0067895,-0.018739,-0.06819,0.031978,-0.088094,0.055712,0.078423,-0.093141
-0.042725,0.030344,0.008763,-0.088006,0.045819,0.031901,-0.025219,-0.031737,-0.054916
0.015353,-0.072426,0.023193,0.004786,0.054876,-0.029824,0.0035498,-0.023063,0.0030191
0.20611,0.13394,0.0592,0.052797,0.13387,0.11388,0.018839,0.10576,0.12311
0.046929,-0.049336,0.072561,-0.070338,-0.023748,-0.084093,0.0018857,-0.076768,0.010574
0.060033,0.041837,-0.037291,0.05977,0.06322,-0.075415,-0.040825,0.084411,-0.025483
-0.0067083,-0.036339,-0.0616,0.055693,-0.0089538,-0.018742,0.010187,0.025556,0.0063807
0.0070143,0.022616,0.031871,0.0015215,0.014784,0.045956,-0.028747,0.013173,-0.10971
0.022607,-0.0067259,-0.02048,0.076079,0.029805,0.071515,0.024054,-0.0017242,0.03771
-0.011722,-0.062719,-0.057583,-0.027745,-0.03727,0.01183,-0.077404,0.040115,-0.014429
